,Цена квартиры,Тип квартиры,Станция метро,Минут до метро,Регион,Кол-во комнат,Площадь,Жилая площадь,Площадь кухни,Этаж,Ремонт
9287,15600000.0,Вторичноё жильё,Трикотажная,21.0,Москва,3.0,63.0,36.0,7.0,4.0,Косметический
9286,42970000.0,Вторичноё жильё,Ботанический сад,7.0,Москва,3.0,85.1,45.8,10.9,5.0,Европейский стиль
9285,30500000.0,Вторичноё жильё,Шелепиха,19.0,Москва,3.0,67.1,29.0,16.4,11.0,Без ремонта
9284,22990000.0,Вторичноё жильё,Профсоюзная,4.0,Москва,3.0,74.1,46.0,11.2,6.0,Косметический
9283,14700000.0,Вторичноё жильё,Коломенская,9.0,Москва,3.0,50.0,34.5,6.0,1.0,Дизайнерский
9282,39000000.0,Вторичноё жильё,Чертановская,13.0,Москва,3.0,120.0,69.0,14.0,24.0,Без ремонта
18362,9356734.0,Новостройка,Зябликово,9.0,Московская область,3.0,60.7,32.8,11.7,8.0,Косметический
18358,8423826.0,Новостройка,Красногвардейская,12.0,Московская область,3.0,72.19,44.5,10.3,4.0,Косметический
9311,17900000.0,Вторичноё жильё,Беговая,7.0,Москва,3.0,69.2,43.3,7.2,2.0,Без ремонта
9310,59000000.0,Вторичноё жильё,Мичуринский проспект,12.0,Москва,3.0,76.0,40.6,12.9,15.0,Дизайнерский
9309,24500000.0,Вторичноё жильё,Нагорная,2.0,Москва,3.0,67.6,43.5,4.9,18.0,Без ремонта
9308,19999000.0,Вторичноё жильё,Тропарево,9.0,Москва,3.0,73.2,44.0,10.0,13.0,Косметический
20012,10135625.0,Новостройка,Зябликово,7.0,Московская область,3.0,68.1,42.7,6.5,13.0,Косметический
20005,7432062.0,Новостройка,Красногвардейская,11.0,Московская область,3.0,62.14,35.2,5.7,13.0,Косметический
20002,7141807.0,Новостройка,Красногвардейская,11.0,Московская область,3.0,62.14,35.2,5.7,9.0,Косметический
20001,6021439.0,Новостройка,Красногвардейская,11.0,Московская область,3.0,52.76,35.0,5.7,2.0,Косметический
20030,8497451.0,Новостройка,Красногвардейская,16.0,Московская область,3.0,77.78,41.7,12.6,3.0,Косметический
9307,12999000.0,Вторичноё жильё,Медведково,33.0,Москва,3.0,57.9,35.5,6.0,4.0,Косметический
9306,16500000.0,Вторичноё жильё,Юго-Западная,16.0,Москва,3.0,64.0,44.0,10.0,11.0,Косметический
9305,35000000.0,Вторичноё жильё,Терехово,13.0,Москва,3.0,63.0,32.0,14.0,4.0,Косметический
9304,14000000.0,Вторичноё жильё,Некрасовка,13.0,Москва,3.0,71.0,45.0,10.0,7.0,Косметический
9303,13500000.0,Вторичноё жильё,Сетунь,15.0,Москва,3.0,63.3,45.2,6.5,7.0,Косметический
9324,30000000.0,Вторичноё жильё,Аннино,11.0,Москва,3.0,86.6,45.6,8.0,11.0,Европейский стиль
20016,10022815.0,Новостройка,Зябликово,7.0,Московская область,3.0,60.7,36.3,6.5,16.0,Косметический
9323,22500000.0,Вторичноё жильё,Славянский бульвар,7.0,Москва,3.0,61.4,39.0,8.2,6.0,Европейский стиль
9322,30000000.0,Вторичноё жильё,Зорге,15.0,Москва,3.0,92.0,50.0,15.0,16.0,Без ремонта
9321,13500000.0,Вторичноё жильё,Новогиреево,18.0,Москва,3.0,59.1,41.5,7.0,4.0,Без ремонта
9320,24800000.0,Вторичноё жильё,Марьино,3.0,Москва,3.0,65.7,43.3,8.3,18.0,Европейский стиль
9319,180000000.0,Вторичноё жильё,Арбатская,6.0,Москва,3.0,129.4,64.5,12.0,4.0,Дизайнерский
9318,21000000.0,Вторичноё жильё,Бабушкинская,23.0,Москва,3.0,78.6,43.3,12.8,10.0,Косметический
18355,17600000.0,Новостройка,Каширская,10.0,Москва,3.0,65.49,40.8,5.7,4.0,Европейский стиль
18372,9061101.0,Новостройка,Зябликово,7.0,Московская область,3.0,68.1,36.6,12.3,2.0,Косметический
18371,9483673.0,Новостройка,Зябликово,7.0,Московская область,3.0,67.3,36.2,12.2,5.0,Косметический
18367,9259624.0,Новостройка,Зябликово,7.0,Московская область,3.0,60.7,32.8,11.7,4.0,Косметический
18366,10254333.0,Новостройка,Зябликово,7.0,Московская область,3.0,75.4,40.3,12.9,4.0,Косметический
18365,10633328.0,Новостройка,Зябликово,7.0,Московская область,3.0,75.4,40.3,12.9,14.0,Косметический
18364,9762001.0,Новостройка,Зябликово,9.0,Московская область,3.0,60.7,32.8,11.7,15.0,Косметический
18363,8725758.0,Новостройка,Зябликово,9.0,Московская область,3.0,67.4,36.2,12.2,2.0,Косметический
9341,21500000.0,Вторичноё жильё,Стрешнево,8.0,Москва,3.0,90.9,41.2,27.9,6.0,Косметический
9340,29700000.0,Вторичноё жильё,Перово,21.0,Москва,3.0,91.8,60.8,10.6,3.0,Дизайнерский
19970,6884570.0,Новостройка,Красногвардейская,11.0,Московская область,3.0,52.88,35.0,5.7,17.0,Косметический
20000,6833954.0,Новостройка,Красногвардейская,11.0,Московская область,3.0,58.34,38.1,4.7,9.0,Косметический
19997,6383076.0,Новостройка,Красногвардейская,11.0,Московская область,3.0,52.88,35.0,5.7,17.0,Косметический
19991,7427975.0,Новостройка,Красногвардейская,12.0,Московская область,3.0,58.44,39.7,5.5,17.0,Косметический
19989,6991060.0,Новостройка,Красногвардейская,12.0,Московская область,3.0,53.91,34.8,5.0,15.0,Косметический
19988,6902813.0,Новостройка,Красногвардейская,12.0,Московская область,3.0,52.88,35.0,5.7,17.0,Косметический
9300,65000000.0,Вторичноё жильё,Краснопресненская,12.0,Москва,3.0,96.3,63.6,11.3,9.0,Европейский стиль
9299,59000000.0,Вторичноё жильё,Автозаводская,20.0,Москва,3.0,200.0,35.0,15.0,15.0,Без ремонта
9298,17500000.0,Вторичноё жильё,Шоссе энтузиастов,18.0,Москва,3.0,64.8,44.1,10.0,8.0,Косметический
9297,71000000.0,Вторичноё жильё,Белорусская,10.0,Москва,3.0,100.0,67.0,15.0,2.0,Без ремонта
9328,105000000.0,Вторичноё жильё,Парк Победы,10.0,Москва,3.0,84.5,45.0,16.1,15.0,Европейский стиль
9327,38000000.0,Вторичноё жильё,ЗИЛ,13.0,Москва,3.0,77.0,45.0,22.5,12.0,Европейский стиль
9326,29100000.0,Вторичноё жильё,Калужская,17.0,Москва,3.0,75.1,49.5,8.0,3.0,Без ремонта
9325,20800000.0,Вторичноё жильё,Щукинская,8.0,Москва,3.0,67.5,39.7,8.0,2.0,Европейский стиль
18432,16090600.0,Новостройка,Каширская,4.0,Москва,3.0,63.39,34.2,11.9,4.0,Косметический
18431,17354234.0,Новостройка,Каширская,4.0,Москва,3.0,63.74,34.4,11.9,3.0,Косметический
18395,6284756.0,Новостройка,Красногвардейская,11.0,Московская область,3.0,51.5,31.6,7.1,13.0,Косметический
18394,8171019.0,Новостройка,Красногвардейская,11.0,Московская область,3.0,78.05,41.9,12.6,8.0,Косметический
18416,16731712.0,Новостройка,Каширская,4.0,Москва,3.0,67.32,36.2,12.2,6.0,Косметический
18415,19592414.0,Новостройка,Каширская,4.0,Москва,3.0,74.35,39.7,12.8,3.0,Европейский стиль
18414,17203477.0,Новостройка,Каширская,4.0,Москва,3.0,64.16,34.6,11.9,2.0,Косметический
18411,18953633.0,Новостройка,Каширская,4.0,Москва,3.0,65.15,35.1,12.0,4.0,Европейский стиль
9317,21000000.0,Вторичноё жильё,Рассказовка,24.0,Москва,3.0,83.6,51.5,10.7,15.0,Косметический
9316,19500000.0,Вторичноё жильё,Петровский парк,13.0,Москва,3.0,60.0,47.0,7.0,3.0,Косметический
9315,28500000.0,Вторичноё жильё,Коломенская,17.0,Москва,3.0,84.9,42.1,27.6,6.0,Косметический
9314,23000000.0,Вторичноё жильё,Сокол,13.0,Москва,3.0,69.9,48.4,10.0,1.0,Косметический
9313,24000000.0,Вторичноё жильё,Прокшино,22.0,Москва,3.0,102.9,56.0,20.0,8.0,Без ремонта
9344,34900000.0,Вторичноё жильё,Улица 1905 года,7.0,Москва,3.0,74.5,45.9,8.0,9.0,Европейский стиль
9343,14500000.0,Вторичноё жильё,Беляево,18.0,Москва,3.0,59.7,38.1,8.1,5.0,Косметический
9342,15000000.0,Вторичноё жильё,Рязанский проспект,9.0,Москва,3.0,60.8,39.3,8.3,4.0,Косметический
19974,6241866.0,Новостройка,Красногвардейская,11.0,Московская область,3.0,52.88,35.0,5.7,9.0,Косметический
